K;FD;DET;;
551 VD3.1;551 D3;340;;
551 VD3.2;551 D4;34;;
551 VD4.1;551 D5;341;;
552 VD1.1;502 D3;1057;;
552 VD2.1;552 D2;345;;
552 VD3.1;552 D3;343;;
552 VD4.1;552 D4;346;;
552 VD5.1;552 D5;342;;
553 VD1.1;553 D1;347;;
553 VD2.1;553 D2;348;;
553 VD3.1;553 D3;35;;
553 VD4.1;553 D4;349;;
554 VD1.1;554 D1;353;;
554 VD1.2;554 D2;358;;
554 VD2.1;554 D3;356;;
554 VD2.2;554 D4;352;;
554 VD3.1;554 D5;351;;
554 VD3.2;554 D6;357;;
554 VD4.1;554 D7;355;;
554 VD5.1;554 D8;350;;
554 VD5.2;554 D9;354;;
555 VD1.1;555 D1;361;;
555 VD1.2;555 D2;38;;
555 VD2.1;555 D3;382;;
555 VD2.2;555 D4;359;;
555 VD2.3;555 D5;360;;
555 VD3.1;555 D6;364;;
555 VD3.2;555 D7;380;;
555 VD4.1;555 D8;378;;
555 VD4.2;555 D9;363;;
555 VD5.1;555 D10;36;;
555 VD6.1;555 D11;381;;
555 VD6.2;555 D12;379;;
555 VD7.1;555 D13;362;;
556 VD1.1;556 D1;59;;
556 VD2.1;556 D2;590;;
556 VD3.1;556 D3;591;;
556 VD4.1;556 D4;592;;
601 D1;601 D1;1822;;
601 D10;601 D10;1815;;
601 D11;601 D11;1810;;
601 D12;601 D12;1826;;
601 D13;601 D13;1808;;
601 D14;601 D14;1819;;
601 D15;601 D15;1814;;
601 D16;601 D16;1813;;
601 D17;601 D17;1825;;
601 D18;601 D18;1823;;
601 D19;601 D19;1809;;
601 D2;601 D2;1812;;
601 D20;601 D20;1811;;
601 D21;601 D21;1820;;
601 D3;601 D3;1821;;
601 D4;601 D4;1828;;
601 D5;601 D5;1816;;
601 D6;601 D6;1817;;
601 D7;601 D7;1818;;
601 D8;601 D8;1827;;
601 D9;601 D9;1824;;
602 VD1.1;602 D1;1801;;
602 VD1.2;602 D2;1804;;
602 VD2.1;602 D3;1805;;
602 VD2.2;602 D4;1807;;
602 VD3.1;602 D5;1802;;
603 VD1.1;603 D1;1261;;
603 VD1.2;603 D2;1262;;
603 VD2.1;603 D3;1263;;
603 VD2.2;603 D4;1264;;
603 VD3.1;603 D5;1265;;
603 VD3.2;603 D6;1266;;
603 VD4.1;603 D7;1267;;
603 VD4.2;603 D8;1268;;
603 VD5.1;603 D9;1269;;
603 VD5.2;603 D10;1270;;
605 VD1.1;605 D1;1274;;
605 VD1.2;605 D2;1275;;
605 VD2.1;605 D3;1276;;
606 VD1.1;606 D1;1325;;
606 VD1.2;606 D2;1326;;
606 VD2.1;606 D3;1327;;
606 VD3.1;606 D4;1328;;
606 VD4.1;606 D5;1329;;
606 VD5.1;606 D6;1330;;
606 VD6.1;606 D7;1331;;
606 VD6.2;606 D8;1332;;
606 VD7.1;606 D9;1333;;
606 VD8.1;606 D10;1334;;
606 VD9.1;606 D11;1335;;
607 VD1.1;607 D1;1794;;
607 VD2.1;607 D2;1796;;
607 VD3.1;607 D3;1793;;
607 VD5.1;607 D4;1792;;
607 VD5.1;607 D5;1792;;
607 VD6.1;607 D6;1798;;
607 VD7.1;607 D7;1795;;
608 VD 1.1;608 D1;77;;
608 D2;608 D2;770;;
608 D3;608 D3;89;;
608 D4;608 D4;894;;
608 D5;608 D5;895;;
608 D6;608 D6;896;;
608 D7;608 D7;927;;
609 VD1.1;609 D1;761;;
609 VD2.1;609 D2;762;;
609 VD2.2;609 D3;763;;
609 VD3.1;609 D4;764;;
609 VD3.2;609 D5;765;;
609 VD4.1;609 D6;766;;
609 VD5.1;609 D7;1232;;
609 VD5.2;609 D8;1220;;
609 VD6.1;609 D9;1233;;
610 VD1.1;610 D1;1196;;
610 VD1.2;610 D2;1195;;
610 VD2.1;610 D3;1194;;
610 VD3.1;610 D4;1193;;
610 VD3.2;610 D5;1192;;
610 VD4.1;610 D6;766;;
701 D1;701 D1;1791;;
701 D2;701 D2;1787;;
701 D3;701 D3;1789;;
701 D4;701 D4;1790;;
701 D5;701 D5;1788;;
701 D6;701 D6;1785;;
701 D7;701 D7;1786;;
702 D1;702 D1;118;;
702 D2;702 D2;1187;;
702 D3;702 D3;1188;;
702 D4;702 D4;1189;;
702 D5;702 D5;119;;
721 VD1.1;721 D1;1279;;
721 VD2.1;721 D2;1280;;
721 VD3.1;721 D2;1281;;
721 VD4.1;721 D4;1282;;
721 VD5.1;721 D5;1283;;
721 VD6.2;721 D6;1284;;
721 VD7.1;721 D7;1285;;
721 VD7.1;721 D8;1286;;
741 D1;741 D1;1777;;
741 D10;741 D10;1769;;
741 D11;741 D11;1763;;
741 D12;741 D12;1764;;
741 D13;741 D13;1774;;
741 D14;741 D14;1775;;
741 D15;741 D15;1776;;
741 D16;741 D16;1765;;
741 D17;741 D17;1760;;
741 D18;741 D18;1768;;
741 D2;741 D2;1761;;
741 D3;741 D3;1767;;
741 D4;741 D4;1766;;
741 D5;741 D5;1771;;
741 D6;741 D6;1773;;
741 D7;741 D7;1762;;
741 D8;741 D8;1770;;
741 D9;741 D9;1772;;
742 VD1.1;742 D7;1207;;
742 VD1.2;742 D12;1208;;
742 VD1.3;742 D3;1209;;
742 VD2.1;742 D1;1210;;
742 VD3.1;742 D6;1211;;
742 VD3.2;742 D5;1212;;
742 VD3.3;742 D10;1213;;
742 VD4.1;742 D9;1214;;
742 VD4.2;742 D4;1215;;
742 VD5.1;742 D29;1216;;
742 VD5.2;742 D8;1217;;
742 VD6.1;742 D11;1218;;
744 VD1.1;744 D1;1750;;
744 VD1.2;744 D2;1751;;
744 VD2.1;744 D3;1752;;
744 VD2.2;744 D4;1753;;
744 VD2.3;744 D5;1754;;
744 VD3.1;744 D6;1755;;
744 VD4.1;744 D7;1756;;
744 VD4.2;744 D8;1757;;
761 D1;761 D1;1729;;
761 D10;761 D11;1739;;
761 D11;761 D13;1741;;
766 D12;766 D14;1701;;
761 D13;761 D15;1743;;
761 D14;761 D16;1744;;
761 D15;761 D18;1746;;
761 D16;761 D19;1747;;
761 D17;761 D20;1748;;
761 D18;761 D21;1749;;
761 D2;761 D2;1730;;
761 D3;761 D3;1731;;
761 D4;761 D4;1732;;
761 D5;761 D5;1733;;
761 D6;761 D6;1734;;
761 D7;761 D8;1736;;
761 D8;761 D9;1738;;
761 D9;761 D10;1738;;
762 D1;762 D1;1717;;
762 D10;762 D10;1321;;
762 D11;762 D11;1727;;
762 D12;762 D12;1728;;
762 D2;762 D2;1718;;
762 D3;762 D3;1719;;
762 D4;762 D4;1720;;
762 D5;762 D5;1721;;
762 D6;762 D6;1722;;
762 D7;762 D7;1723;;
762 D8;762 D8;1736;;
762 D9;762 D9;1725;;
763 VD1.1;763 D1;1312;;
763 VD1.2;763 D2;1313;;
763 VD2.1;763 D3;1314;;
763 VD2.2;763 D4;1315;;
763 VD3.1;763 D5;1316;;
763 VD3.2;763 D6;1317;;
763 VD4.1;763 D7;1318;;
763 VD4.2;763 D8;1319;;
763 VD4.3;763 D9;1320;;
763 VD5.1;763 D10;1321;;
763 VD5.2;763 D11;1322;;
763 VD6.1;763 D12;1323;;
763 VD6.2;763 D13;1324;;
764 D1;764 D1;1704;;
764 D10;764 D10;1713;;
764 D2;764 D2;1705;;
764 D3;764 D3;1706;;
764 D4;764 D4;1707;;
764 D5;764 D5;1708;;
764 D6;764 D6;1709;;
764 D7;764 D7;1710;;
764 D8;764 D8;1711;;
764 D9;764 D9;1712;;
765 VD1.1;765 D1;1287;;
765 VD1.2;765 D2;1288;;
765 VD2.1;765 D3;1289;;
765 VD2.2;765 D4;1290;;
765 VD3.1;765 D5;1291;;
765 VD4.1;765 D6;1292;;
765 VD5.1;765 D7;1293;;
765 VD5.2;765 D8;1294;;
765 VD6.1;765 D9;1295;;
765 VD6.2;765 D10;1296;;
765 VD7.1;765 D11;1297;;
765 VD8.1;765 D12;1298;;
765 VD8.2;765 D13;1299;;
766 VD1.1;766 D1;1688;;
766 VD1.2;766 D2;1689;;
766 VD2.1;766 D3;1690;;
766 VD2.2;766 D4;1691;;
766 VD3.1;766 D5;1692;;
766 VD3.2;766 D6;1693;;
766 VD4.1;766 D7;1694;;
766 VD4.2;766 D8;1695;;
766 VD5.1;766 D9;1696;;
766 VD5.2;766 D10;1697;;
766 VD6.1;766 D11;1698;;
766 VD6.2;766 D12;1699;;
766 VD7.1;766 D13;1700;;
766 VD7.2;766 D14;1701;;
766 VD8.1;766 D15;1702;;
766 VD8.2;766 D16;1703;;
768 VD1.1;768 D1;1677;;
768 VD1.2;768 D2;1678;;
768 VD1.3;768 D3;1679;;
768 VD2.1;768 D4;1680;;
768 VD2.2;768 D5;1681;;
768 VD3.1;768 D6;1682;;
768 VD3.2;768 D7;1683;;
768 VD4.1;768 D8;1684;;
768 VD4.2;768 D9;1685;;
768 VD5.1;768 D10;1686;;
768 VD5.2;768 D11;1687;;
781 D1;781 D1;1300;;
781 D2;781 D2;1301;;
781 D3;781 D3;1302;;
781 D4;781 D4;1303;;
781 D5;781 D5;1304;;
781 D6;781 D6;1305;;
781 D7;781 D7;1306;;
781 D8;781 D8;1307;;
781 D9;781 D9;1308;;
782 VD1.1;782 D1;1992;;
782 VD1.2;782 D2;1993;;
782 VD1.3;782 D3;1994;;
782 VD2.1;782 D4;1995;;
782 VD2.2;782 D5;1996;;
782 VD2.3;782 D6;1997;;
782 VD2.4;782 D7;1998;;
782 VD3.1;782 D8;1999;;
782 VD3.2;782 D9;275;;
782 VD3.2;782 D10;276;;
782 VD3.3;782 D11;277;;
782 VD4.1;782 D11;278;;
782 VD4.2;782 D12;279;;
782 VD4.3;782 D13;280;;
782 VD4.4;782 D14;28;;
783 VD1.1;782 D1;1983;;
783 VD1.2;783 D2;1979;;
783 VD2.1;783 D3;1982;;
783 VD2.2;783 D4;1981;;
783 VD2.3;783 D5;1980;;
783 VD3.1;783 D6;1978;;
783 VD4.1;783 D7;1984;;
783 VD4.2;783 D8;1985;;
784 D1;784 D1;1517;;
784 D10;784 D10;1526;;
784 D11;784 D11;1527;;
784 D12;784 D12;1528;;
784 D13;784 D13;1529;;
784 D14;784 D14;1530;;
784 D15;784 D15;1531;;
784 D16;784 D16;1532;;
784 D17;784 D17;1516;;
784 D2;784 D2;1518;;
784 D3;784 D3;1519;;
784 D4;784 D4;1520;;
784 D5;784 D5;1521;;
784 D6;784 D6;1522;;
784 D7;784 D7;1523;;
784 D8;784 D8;1524;;
784 D9;784 D9;1525;;
785 VD1.1;785 D1;1507;;
785 VD1.2;785 D2;1508;;
785 VD1.3;785 D3;1509;;
785 VD2.1;785 D4;1510;;
785 VD2.2;785 D5;1511;;
785 VD3.1;785 D6;1512;;
785 VD3.2;785 D7;1513;;
785 VD3.3;785 D8;1514;;
785 VD4.1;785 D9;1515;;
785 VD4.2;785 D10;1506;;
801 VD1.1;801 D1;1494;;
801 VD1.2;801 D2;1495;;
801 VD2.1;801 D3;1496;;
801 VD2.2;801 D4;1497;;
801 VD3.1;801 D5;1498;;
801 VD3.2;801 D6;1499;;
801 VD4.1;801 D7;1500;;
801 VD4.2;801 D8;1501;;
801 VD5.1;801 D9;1502;;
801 VD5.2;801 D10;1503;;
801 VD6.1;801 D11;1504;;
803 VD1.1;803 D1;1491;;
803 VD1.2;803 D2;1492;;
803 VD2.1;803 D3;1474;;
803 VD3.1;803 D4;1475;;
803 VD3.2;803 D5;1476;;
803 VD3.2;803 D6;1477;;
803 VD4.1;803 D7;1478;;
803 VD4.2;803 D8;1479;;
821 D1;821 D4;1390;;
821 D2;821 D5;1391;;
821 D3;821 D6;1392;;
821 D4;821 D7;1393;;
821 D5;821 D8;1394;;
821 D6;821 D9;1395;;
821 D7;821 D10;1396;;
821 D8;821 D11;1397;;
821 D9;821 D12;1398;;
821 VD1.1;821 D1;1387;;
821 VD1.2;821 D2;1388;;
821 VD1.3;821 D3;1389;;
823 VD1.1;823 D1;1481;;
823 VD1.2;823 D2;1482;;
823 VD1.3;823 D3;1483;;
823 VD2.1;823 D4;1484;;
823 VD2.2;823 D5;1485;;
823 VD2.3;823 D6;1486;;
823 VD3.1;823 D7;1487;;
823 VD3.2;823 D8;1488;;
823 VD4.1;823 D9;1489;;
823 VD4.2;823 D10;1490;;
823 VD4.3;823 D11;1473;;
824 VD1.1;824 D1;1455;;
824 VD1.2;824 D2;1456;;
824 VD1.3;824 D3;1457;;
824 VD2.1;824 D4;1458;;
824 VD2.2;824 D5;1459;;
824 VD3.1;824 D6;1460;;
824 VD3.2;824 D7;1461;;
825 VD1.1;825 D1;1454;;
825 VD1.2;825 D2;1464;;
825 VD2.1;825 D3;1465;;
825 VD2.2;825 D4;1466;;
825 VD2.3;825 D5;1467;;
825 VD3.1;825 D6;1468;;
825 VD3.2;825 D7;1469;;
825 VD4.1;825 D8;1470;;
825 VD4.2;825 D9;1471;;
825 VD4.3;825 D10;1472;;
828 VD1.1;828 D1;1444;;
828 VD1.2;828 D2;1445;;
828 VD2.1;828 D3;1446;;
828 VD2.2;828 D4;1447;;
828 VD3.1;828 D5;1448;;
828 VD3.2;825 D6;1449;;
828 VD3.3;828 D7;1450;;
828 VD4.1;828 D8;1451;;
828 VD5.1;828 D9;1452;;
828 VD5.2;828 D10;1453;;
828 VD5.3;828 D11;1441;;
829 D1;1008 D6;115;;
829 D2;1008 D4;113;;
829 D3;1008 D3;1117;;
829 D4;1008 D1;1116;;
829 D5;1008 D5;1115;;
828 D6;1008 D2;1107;;
829 D7;1008 D8;1106;;
830 D1;830 D1;1345;;
830 D2;830 D2;1353;;
830 D3;830 D3;1352;;
830 D4;830 D4;1351;;
830 D5;830 D5;1350;;
830 D6;830 D6;1349;;
830 D7;830 D7;1348;;
841 VD1.1;841 D1;1338;;
841 VD2.1;841 D2;1344;;
841 VD2.2;841 D3;1343;;
841 VD3.1;841 D4;1342;;
841 VD3.2;841 D5;1341;;
841 VD4.1;841 D6;1340;;
841 VD4.2;841 D7;1339;;
842 VD1.1;842 D1;1338;;
842 VD2.1;842 D2;1400;;
842 VD2.2;842 D3;1401;;
842 VD3.1;842 D4;1402;;
842 VD4.1;842 D5;1403;;
842 VD4.2;842 D6;1404;;
842 VD5.1;842 D7;1405;;
842 VD5.2;842 D8;1406;;
842 VD6.1;842 D9;1407;;
842 VD7.1;842 D10;1408;;
842 VD7.2;842 D11;1409;;
842 VD8.1;842 D12;1410;;
861 VD1.1;861 D1;1008;;
861 VD1.2;861 D2;1009;;
861 VD2.1;861 D3;1010;;
861 VD3.1;861 D4;1054;;
861 VD3.2;861 D5;1056;;
861 VD4.1;861 D6;1071;;
861 VD4.2;861 D7;1072;;
861 VD5.1;861 D8;1084;;
861 VD6.1;861 D9;1101;;
861 VD6.2;861 D10;1105;;
881 VD1.1;881 D6;1427;;
881 VD1.2;881 D1;1428;;
881 VD2.1;881 D2;1429;;
881 VD2.2;881 D3;1430;;
881 VD3.1;881 D4;1431;;
881 VD3.2;881 D5;1432;;
882 VD1.1;882 D5;1435;;
882 VD1.2;882 D2;1436;;
882 VD2.1;882 D4;1437;;
882 VD2.2;882 D1;1438;;
882 VD3.1;882 D3;1439;;
882 VD3.2;882 D6;1440;;
101 VD2.1;101 D4;1031;;
101 VD2.2;101 D5;1030;;
101 VD2.3;101 D6;103;;
101 VD3.1;101 D7;1032;;
101 VD1.1;101 D1;1027;;
101 VD1.2;101 D2;1028;;
101 VD1.3;101 D3;1029;;
104 VD1.2;104 D2;1095;;
104 VD1.3;104 D3;1096;;
102 D14;102 D14;1;;
102 D12;102 D2;1006;;
152 VD1.2;152 D2;1049;;
104 VD1.2;104 D2;1095;;
104 VD1.3;104 D3;1096;;
102 D15;102 D15;929;;
102 D16;102 D16;93;;
102 D15;102 D15;929;;
102 D16;102 D16;93;;
101 D2;101 D11;1036;;
101 D3;101 D12;1037;;
101 D4;101 D13;1038;;
101 D5;101 D14;1039;;
110 VD1.1;110 D1;204;;
110 VD1.2;110 D2;205;;
114 VD1.1;114 D1;319;;
103 VD1.1;103 D1;1079;;
103 VD1.2;103 D2;108;;
103 VD1.3;103 D3;1080;;
104 VD1.2;104 D2;1095;;
104 VD1.3;104 D3;1096;;
101 D1;101 D10;1035;;
113 VD3.1;113 D5;1166;;
;102 D10;1002;;
;102 D11;1003;;
;105 D8;1127;;
;105 D9;1128;;
;106 D10;1155;;
;106 D6;1156;;
;106 D7;1158;;
;106 D9;1159;;
;107 D10;136;;
;107 D11;135;;
;107 D14;137;;
;107 D9;14;;
;109 D3;184;;
;109 D4;185;;
;109 D8;189;;
;109 D9;19;;
;110 D13;215;;
;110 D15;216;;
;110 D16;217;;
;110 D6;209;;
;110 D7;21;;
;111 D3;242;;
;111 D4;243;;
;111 D8;247;;
;111 D9;248;;
;112 D3;1168;;
;112 D4;1172;;
;112 D7;1173;;
;112 D8;1175;;
;112 D9;1177;;
;113 D7;1180;;
;113 D8;1169;;
;113 D9;1170;;
;114 D13;323;;
;114 D14;33;;
;114 D6;330;;
;116 D1;388;;
;116 D12;398;;
;116 D13;265;;
;116 D14;267;;
;116 D8;390;;
;116 D9;394;;
;117 D7;399;;
;118 D10;4;;
;118 D11;1048;;
;118 D12;1050;;
;118 D5;1055;;
;121 D3;1062;;
;121 D32;1065;;
;121 D4;1066;;
;121 D6;1242;;
;121 D8;771;;
;152 D7;996;;
;152 D9;994;;
;153 D12;3;;
;153 D13;384;;
;153 D6;297;;
;153 D7;303;;
;154 D1;414;;
;154 D3;1422;;
;155 D5;1186;;
;207 D1;878;;
;211 D14;589;;
;214 D2;810;;
;214 D5;808;;
;214 D9;804;;
;215 D19;1357;;
;215 D2;1362;;
;215 D9;1354;;
;251 D12;713;;
;255 D3;690;;
;255 D4;69;;
;315 D7;518;;
;354 D2;449;;
;354 D3;448;;
;404 D10;1971;;
;404 D11;1376;;
;404 D12;1377;;
;404 D13;1378;;
;404 D14;1415;;
;404 D15;1416;;
;404 D16;1417;;
;404 D17;1418;;
;404 D18;1419;;
;404 D19;1420;;
;404 D9;1970;;
;405 D1;1535;;
;405 D2;1536;;
;405 D4;1538;;
;407 D5;1564;;
;451 D5;1668;;
;501 D8;1007;;
;502 D10;1059;;
;505 D1;1108;;
;506 D1;1118;;
;506 D4;1130;;
;508 D8;1148;;
;513 D12;1613;;
;513 D13;1614;;
;513 D14;1615;;
;516 D6;2;;
;522 D5;286;;
;552 D1;344;;
;603 D11;1271;;
;605 D4;1277;;
;607 D4;1799;;
;610 D6;1191;;
;702 D6;1190;;
;702 D7;12;;
;1005 D3;593;;
;1005 D8;594;;
;1008 D10;1206;;
;1008 D9;117;;
;1009 D1;595;;
;1009 D10;777;;
;1011 D3;1938;;
;1019 D3;282;;
;1029 D9;735;;
;1033 D1;156;;
;1033 D10;1566;;
;1033 D11;1558;;
;1033 D2;1553;;
;1033 D3;1551;;
;1033 D4;1565;;
;1033 D5;1552;;
;1033 D6;1550;;
;1033 D7;157;;
;1033 D8;1534;;
;1033 D9;1559;;
;742 D13;1618;;
;742 D2;1617;;
;761 D14;1742;;
;762 D10;1726;;
;762 D8;1724;;
;764 D11;1714;;
;801 D4;1497;;
;803 D6;1477;;
;829 D1;1953;;
;829 D2;1952;;
;829 D3;1947;;
;829 D4;1946;;
;829 D5;1951;;
;829 D6;1945;;
;829 D7;1949;;
;842 D1;1399;;
;842 D13;1493;;
;842 D14;150;;
;842 D15;1505;;
;842 D16;1533;;
